???#?????#?.#???#??? 9,7
??????.??#.#?##??# 1,1,1,1,1,5
????...?????? 1,3
??##??#????#??#??? 7,1,5
?.??????????.? 1,1,1
?.?????#??#?? 1,7,2
?.?#?????..?? 6,1
??????###??????#?.? 8,2
?##??????.? 5,1
?.???#???.#? 4,2
??##??.?.#?#???? 4,4
.##..?????# 2,4
????#??#.??????? 2,4,1,1
..???#??.#.???#.#. 1,1,1,4,1
??????????#?????# 2,1,5,1,1
?.??????.???##??.?? 1,3,1,1,2,1
.?????##???#?? 1,7
?.????????? 2,3
?##?#??..#?#?. 6,3
.???#?????#?.??. 2,2
?###??????..?# 6,1,2
?..#?????#?#?#????#? 1,12,1,1
?#.?????.???#.#?##?? 1,1,3,2,4
???###?.?????? 1,5,5
.????.??#?#?#??? 2,1,8
???#??#???#??.? 1,9,1
.#???#?????? 5,2,1
????????????#?. 1,9,2
?.??#??.?.???#??.??? 3,4
???#?..?????####? 5,1,4
????.???#??..? 2,6
#?#.?#??##?#??# 1,1,2,4,2
.?.??.?.#?.??? 1,1,2,2
?##????#.????????##? 5,1,10
???..#??#???# 1,1,2,1
.????.?#??????? 1,1,4,1
?#???.?##?#???.??#?? 1,2,5,1,1,1
.#?..#????? 1,1,2
????#??#??.#.##??? 4,2,1,1,3,1
??.#??#..?#????#? 1,2,1,2,4
#.?.#??.#? 1,1,1
?????.??#???#?. 2,3,2
?????#??????.?? 3,3,3,2
?????????.???#?? 5,3
##????..????????? 5,2,1,1
?#???????# 2,1,1
??.?#?.?#???..#.? 1,2,5,1,1
##??.?.?##?.?? 4,3,2
.#????.????#?? 3,1,1,1
.#..?#?#??? 1,5
?#.?.??.?? 1,1,1
.?????#?.??##??? 2,1,6
??????.??????# 3,1,2,1
?.??.#?#?#??????. 7,1
?#?.#????#?????.?? 2,2,3,2,1
??#???.?##?????? 3,5
#??#?????##?#??#??.# 1,2,5,1,3,1
?????#????#?????? 10,3
.#??.?.?????#? 1,1,1,7
????.???..#?????? 2,1,7
?????#??#??????? 2,2,6,1
???.??.??#????#?. 1,2,9
#.?#?.??##???? 1,1,5,1
.?????#??. 3,2
????#???.???.??? 6,2,2
??###?#?????. 3,1,1,1
????#?.???????.?.?? 1,1,1,7,1,1
????#??.?. 4,1
.#??.??.??.? 2,1,2
.?.????#?#???# 2,5,1
????.?#???#? 1,1,7
??#.?#????##? 1,1,8
???..??#??.??##??? 1,1,1,2,5
#??#??##???#? 1,1,6
??????????? 6,1,1
??#???#?#????. 4,3,1
?..##?###?????? 1,10
.???##????#??.?##?.? 5,4,3,1
???#??.???#?.??# 5,2,2,1,1
??.???.?.?????????? 2,1,2
????.??????#?#????? 3,1,1,5,1
.????##?..#????.?.?? 5,5,1
????????#???##??#?? 8,5,3
?.?.??#??#??##?.? 2,6
???#?????? 4,2
???##?????? 8,1
?#??##???##???#?. 1,3,7
??#??????##?? 1,1,4
??..???.?????. 2,2,1,1
?#??##?.?#? 1,3,1
??.????????##?#?? 2,3,6
.#.#??.??#.? 1,3,2,1
.?#?#???.?????. 5,1,1
????##???#?. 2,3,1
?#??#??????# 1,6,1
?.#?#.??#.##??? 1,1,2,2,1
???#????##?#?#?? 1,1,1,8
??.#..?.?????????. 1,1,1,3,1,1
?.#?##????? 4,1,1
?????.####?? 1,4
?????????????.??? 1,7,1,1
?????#??#?????#?#? 2,3,2,6
??#.?????. 2,4
.??#????#.. 3,2
???#????.??#? 4,1,1
????.??.??.??? 1,1,1,3
??##?#??#????#?..# 7,6,1
???#???.????? 4,1,3
?#?###?.#??##???# 6,2,4,1
?.#?#??.?..??.?? 3,1
#?#?.#?#?????? 1,1,1,7
????#??.??.?.?#. 5,2,1,1
???.??.????.. 1,2
?##????.???. 4,1,1
#.#?##??#???????. 1,14
?#????.####??? 2,2,5,1
??.?????#???.??? 1,5,1,1
????####???#? 7,1
?.??????#????.????? 1,8,1,1
???.?#???#.??# 2,6,2
.???#??.?#?#?? 3,4
???.????##???# 2,7,1
?????????? 1,1,1
#??????#?.??#?????? 1,3,2,3,1,1
#????????. 3,4
??.??#??.?#??#####? 2,1,1,1,9
?#????..?#?? 2,1,3
????????.??? 1,1
?????#??????.#??#?.? 1,5,1,1,5
..?#?##?????.#??#? 9,2,2
????#????.#. 1,1,3,1
???.?#??##?#? 1,7
?#?????#??? 2,4
.??#???#??#?????# 4,6,1
??..??????# 1,3,1
?????.??.?????# 5,1,3,2
.#?#..????.??????? 3,1,1,1,3
?#?##??????#? 6,1,1
?.#?.#?#?##??..???? 1,1,8,1,1
??#?????##??. 5,4
#??#???##????????# 12,1,1
??#?.????? 2,1,1
#.??#????#?.???? 1,1,4,2,2
??.#????#?#????? 1,2,4,1
????#??.??#? 5,2
?#?#???#?.. 5,3
??.??#??##???##?# 1,3,4,2,1
????..??##??.??? 3,6,3
.???.#??##.#.? 1,5,1,1
?#?????##? 2,2,3
#?.???#??#?#?.? 2,7,1
??#??#??.#?#?#?## 1,3,8
.????.#.?????#? 4,1,2,3
#.???.??#???#??? 1,3,1,1,5
??#.#.???.?????? 2,1,1,1,2
??#?#?.#?#?.##??##? 6,3,2,3
?##??.?##?.???? 2,1,2,1,1
?#?.?.???? 3,1
???????##??????? 5,5
..????.?##?? 2,3
?.??.????#??.??? 1,1,1,4,1
.??????#???#?????? 2,8
..?###???.????????? 3,6
????#?#.?????#????? 2,4,1,1,3,1
??.?.??#??? 1,1,4
????#?#?#?#???# 1,5,1,3
..#???#???.??##???#? 7,1,2,3
??.#?..???#???#. 1,1,1,5
..??????#???? 1,1,2,1
???.??#??.??.? 1,4,2
#?.#???#?. 1,2,3
.????#??#?#??.?# 1,10,2
??#.???#?.. 2,1,2
?.?.???##???#?#? 1,11
???????????#?? 1,7,1,1
#?..#?.?#?#.? 1,1,4
????#????.??##?#??? 1,6,5
???.??#???#.#?# 1,1,6,3
????????.? 3,3
???.?.#??##????? 2,1,1,3,1
..????#.??. 1,1,2
???#??##??.#???..# 10,1,1,1
??????????.?????. 8,2
??????????..?.#...?. 5,1,1,1,1,1
??.????#???.???#? 1,5,1,2
???..???##??##?? 3,9
?#.??.?... 1,2,1
#?????#?##??????#?? 1,1,8,3,1
...?????.? 1,3
?##???##????..? 8,1
?.??????##?? 1,5
#????????#?#?#???. 1,13
?#??.???#??? 1,1,1,1
???#????#????#?? 8,3
.#.###???.#? 1,3,1,1
.?##.?????.#???? 3,3
????..????##?.#??#?# 1,1,1,4,1,4
?????????#??????? 6,1,2
#??##..?##?????? 1,3,6
?#....#?##???#?# 1,10
??##??????.??. 3,1,2,2
???.????#????##?.? 1,2,2,3,1
?????.#?.??. 2,2,2
???###.???#?.??. 4,3,1
?##?#???.?? 6,2
.???.?.?.??????? 1,1,1,4,1
????#????.##?#? 6,5
.??????#?#. 2,3
????.#?#????.?##? 3,5,1,4
?.#?#.???#?#??.??? 1,1,1,7,3
.#?#?????.?.?#?#?.? 4,4
????#????.? 1,4,1
??#?#..#.##?#??? 3,1,1,7
#????##?..??. 1,5,2
???#??.??? 3,1
??.#??.??? 1,1
#?#?###???..?.#?#. 1,8,1,1,1
#...?..??.?#??##?? 1,1,1,6,1
????##??????##...??. 1,8,2,1
.?#????##????#? 1,6,1
??#???..??. 6,1
.#?#.???#???#?# 3,4,1,1
#???#.#?###?## 1,2,1,6
?##?#?#??? 6,1
#??????.#??? 2,2,4
??#?.????#?#???? 3,1,5,1
???????#?#? 1,3
#?..???#?? 2,4
??????.##??#??#?? 1,1,1,8,1
??????????.? 3,1
#???#????..?? 7,1,1
??????.##???..?????. 1,2,5,3,1
????#?#?.???.. 4,2
##?.????#?#??##???? 3,13
.?????.?##?.? 1,3
??..??.????#?? 1,1,6
?.#.???.#?#?????. 1,1,8
?#??..#???? 2,1,1
.###??#???#??# 3,8
?#?#?.???#?.?? 3,5,1
?.?.???.?.???##??.? 2,4
?????#.??????? 1,1,4,1
??.??????..#?#?? 1,3,1,1,1
???#?#??#?..? 2,3,1,1
?.##?#?.??#?#? 4,3,1
#??..??.?#???.. 3,5
?????????#?????? 1,5,1,1,1
??#???????#??? 3,3
#.?.?##????????#?? 1,1,7,1,3
??????.#???????#? 4,3,5
.??#???.#????#? 4,1,5
??#??.???.??? 1,2,1,2
#?#??##??#?##?#.??# 1,8,4,2
.#?????.???##?????? 3,2,8
?????????.??? 2,3,1,1
?????##?.???#?? 4,1,3
??????.??#????????#? 2,1,3,3
#???????#??? 2,5,1
??.??#??#??#?????? 1,1,5,1,2,1
??#??????.?.? 2,1,1,1
#????##?#????? 2,1,6,1
.#?#???#??? 3,5
???????.???.?##??. 1,2,5
?.??.???#???#?? 1,1,2,3
?.##?#??###?.???#?. 1,10,1,3
??????#.????#??? 6,4
????????..##?? 2,2,1,4
.##???????###??#?. 4,11
.???#??????????#??? 1,1,1,1,3,4
???.#??#?.##.?#?? 1,1,3,2,1
?.?#.??#?#??? 2,3
.????.?.???#?# 1,1,1,6
??.#???#?? 1,3
???.?????? 3,2,1
.???????#????#???? 12,1
???????....#??#??#? 2,1,7
#????#?????.?????.? 2,4,1,3
???#??#???? 5,1
?#?..##?#.?? 2,4,1
???#??????##???#?#?. 3,10
#?????.???.??? 3,1,2
###?????##...??. 4,4,1
??????????#.??#?? 8,2
#?.????##..?#??? 2,1,2,1,1
????##??#?...????? 1,6,3
?#?.#?????#???#? 2,1,1,4,1
????.#?##.???????# 2,4,4,1
.??#????#? 4,1
????????##??#?#? 1,1,1,7
##.???#????#???##? 2,8,4
.?#??????. 2,1,1
???.?????.? 1,2
?#?#.???##?##??# 4,8
????????.?#??#???#?. 2,1,4,3
??#??#?.?.??#?##?#?? 6,1,1,5
???#????#?..#?#?# 2,5,5
#??#??#?..?? 7,1
...?#?#??#???.#?? 7,3
???#.???#?#?.??. 2,1,3
?#?#???#??? 4,3,1
?.?##???????????? 6,2
?????.?##?#?? 1,1,7
.#????#?.?#?? 7,1
????##??.?#?#?? 1,2,1,3
.?#??##?.???##? 1,4,3
????.#??.?????? 1,1,3,3
.?#????.??. 3,1
???#??.????#?.?? 4,4
??#????#.?? 2,3
??????.??????? 3,3
????#?#.?#?##?##? 3,8
??.?#.????#???? 1,3,3
#???.???##????#. 1,1,6,1,1
#??????.?###?#??#? 1,5,3,2,1
???###???.?.?#???? 1,3,1,1,4
?????????.#?. 4,1,1
?.????????.?.. 7,1
##???#??#?#??..??. 12,2
..??????.????#.??? 1,5
#?.#?.##?.? 1,1,2
???.????#??#???????? 1,15
?#??.?????? 3,4
?????.?????##??#? 2,1,1,6
??#?##?.?##??? 5,3
#???????????.?#. 1,1,3,3,2
.??#????#?#?#?##? 2,4,6
??????.??##.. 1,4
?????##?????#???#? 1,5,1,2,1
?.#???#?#? 5,1
#?????????? 2,5,1
?#????#?????????##?. 2,5,9
??#???????. 3,1,1
?##?????..###??#?#?? 2,3,3,5
?.#???##???#????? 1,8,1,3
?????#?.???.?? 2,3,1,1
#??#??##?#?##?????# 1,1,9,2
????.?#??#???#?????? 1,2,9,1
??#??#??#.? 7,1
????#????.#????? 7,5
???.?#?#??.???#??#?? 3,3,1,1,4,1
?##??????? 3,2
##.?#??????.?.?? 2,5,1,1,1
####?#???#?.????? 4,2,2,5
?????#?#???#.??#???# 10,1,4,1
?..??#?#.?.?. 5,1
?????...??#.??? 1,2,3,1
#?#?#??.????? 5,1,3
???.????????????. 1,10
?.?###?????.??? 7,1
.??#.????#????.?? 1,1,1,4,1
???###?##???#.??? 8,1
?????#.?#???#.#??? 1,1,1,1,1,3
??#???#??#?#? 1,4,1,1
??.????.??????? 1,1,2
?????????????. 2,5,1
.????#?#???????. 2,11
??.????#?#?#? 1,3,1,1
?????????#??#? 2,1,7
????.#?.??? 2,2,1
??.??????.#??#?. 3,5
???###.?????#??? 1,3,9
???#?????#?..?? 11,1
.??#???????????#? 10,3
??.#???.????????.? 3,4
?##.?#..?????#??. 3,2,7
#?#??????.?.#.???? 1,5,1,1,1,1
..??###??#?????.? 5,7
?.?.?###?##?#???? 1,10,2
?##???????#??????.# 7,3,2,1
????#?#?.? 2,5
?.??.?#.????##?#??. 1,2,6
??#?.#?#?##?#????#. 1,1,1,4,1,4
.###??.?.?.?#? 4,1,1
???#??###?#?.?.??. 10,1
#???????#????#?.#.? 4,2,2,1,1,1
?#????#..??? 1,1,1,1
?#?#???..???.. 7,1,1
???#?#??#?. 6,1
.#???????? 1,4,1
???.???.#?#???#???? 1,1,1,1,6,1
???#..#???####??. 4,3,6
???#??#??????#?# 6,1,2,1
?####?.?.?#??.?#?. 6,4,2
???????????.?? 8,1,1
?#?.?.??.???#?#?# 2,1,7
#?#?#?#?##???###?? 7,2,5
.??##..#???..? 3,1,1,1
?#..?.??.???# 1,1,3
?????.?#??? 1,2,3
.#?#.??.#??.??????? 3,1,1,1,5
?????..?..??? 1,1,1
???????#??#.????.??? 10,3
#?#?#?..?? 3,2,1
?????.#?##??#.? 1,1,5,1
?##?.??.?#?#???? 3,6
..??.????????##? 1,2,1,1,3
?#?..?????. 1,3
??##??.#?.??..# 4,1,1,1
??.???#?##..?##????. 5,3
?.?##?..???.?.? 1,3,2,1,1
..?.??##????# 1,7
???.??.???????#??#?. 1,10
???##?..#?????....?. 4,6,1
??#??.?????. 1,4
???#?????.#?? 4,1,1,2
.?#.?#???.#.???. 2,3,1,2
???#?#??#???##???? 7,4
?#?????###? 2,4
???.#.?????? 2,1,1,1
??#.??####? 1,5
??###?..?##??. 4,3
.????.??####?#? 4,9
.????????. 1,1,1
..????#???#??? 9,1
.???????????#?#??. 5,8
??.????#?? 1,3
?..??#.??# 1,1,1
?##.??#?#??? 2,5,1
.??#????#?? 3,1
.????????????# 6,1,1
.?.?##???##??#?? 1,4,2,4
????????##??.??? 3,1,5,1
.???????##????? 1,2,5,2
???????.?#.? 3,1
?#?..?.????.????# 3,2,5
?#???#?#???#??#?? 7,3,1,1
#??#???..???# 1,1,2,4
?.???#?#?????????..? 5,5
??.??###?#??????. 1,8,1
???#?###??#?????? 1,9,1
.??#?????????#???? 3,4,5
?#??#?????.???# 2,2,4,1,1
?.??#???.???. 1,3,1,1
??#???#.#.?###..#? 1,1,3,1,4,1
##?#.?#??..???##??? 4,1,5
#????##?..?? 2,4,1
.??????..#?#..? 2,2,1,1,1
????.?.#?????##? 1,2,1,1,6
#??#.#????##?. 1,2,8
???##??##?????#?? 4,4,4
????.????#???. 1,1,1,3
??#.#?.??.?#??.??? 1,2,1,2,1,1
???##????.?##??? 8,4
?.?????.##???#???#?? 3,1,3,5
???#??????#??#????#. 1,13
.??#?.????. 1,1,1
??#???.???? 1,1,2
???#####?#????#??.? 9,2,1
#..####?????##??.# 1,8,2,1,1
???##???##???????#.? 1,11,1,1
#???????#?#?.? 1,1,3,4
??.??.????? 1,2,3
??.??##??.? 1,4
.??????#...?? 1,1
##.#?#?.?????#?????? 2,1,1,1,8
????????#..?..???#?. 3,1,1,1,4
?.#??..????#.?.#??# 3,1,2,1,1
??#?#??#????#.?.??. 11,1,1,1
#?#????##??????????? 4,11,1
?????.??.#?#??????? 2,1,9
.?#???.?#?????? 3,7
?#?????.???# 3,1,1,1
???.?????#..? 1,1,2,1
##???##?.??? 3,3
.????##?#?#????#.?.. 7,6
?.???###??.?##? 6,3
#?.#?#??????#????#?. 1,1,1,1,6
?#??#????????? 4,1,2
?.??..???#?...??.? 4,1
.?????..?.??#??. 2,2
?????##??#???? 9,2
????#????????#?#???? 5,11
????.????? 2,2
??.???.??? 1,1,1
?#???#..????? 2,1,1,1
????.??##? 3,3
.?#???#????? 2,1,3
.#?#?#??#??.#???#? 9,1,1
???#??#??##?????# 11,1
..?..????.#?#?#?. 1,1,5
?.??????.? 1,1,1
.??#??#???? 7,1
#?.#..??????????# 2,1,9,1
???.???.???.?? 1,1,2,2
?#???#????#?##?????. 2,9,2
#????.###??.??? 1,2,5,1,1
.#..????????# 1,2,5
?.#????#???.#?.##? 1,1,4,1,1,2
?#????#?.#.#?.. 2,1,3,1,1
?#.?.#??#. 2,1,4
?#???.??#? 1,1,1
?????#?#.???#?????# 7,7,1
.#?#.?.??.##??? 3,1,1,5
??.?#??.???#.? 2,4
?.???????? 2,3
??????..????? 1,1,1,3
?#?#?#????..?? 5,1
..##??.?##. 3,3
?##.???#?#. 3,4
?..#.?.???##???### 1,1,1,1,9
#??#?.??##????? 4,9
.???????.#? 2,1,2
???????..??.? 4,1,1
????.?????.?.?? 2,1,1,1,1
?#??.?##???.?#??? 2,5,5
.???#??.??#?##?. 3,5
#.??????#??????.?#? 1,10,2
??#??#?????#?? 2,2,1,3
?.???????????. 1,1,1,3
.???#?.#??? 1,2,3
?????#???????# 8,2
??.??.#??.#????#??? 1,1,1,1,1,5
??#?#????.#??????.? 1,4,1,1,1,1
.?????#??#?.??. 2,6,1
?.#?##?#?##?. 6,2
??#?#?##???.?????. 10,1,1
?#??#?????## 4,1,2
??..????#???????#?? 2,7,4
??#????????.#.? 2,1,4,1,1
??#???#..#?#?##? 1,2,2,1,5
#?????#.????. 7,3
?.?.#?##???#??..?.? 1,1,10,1
??##.#???.??#.? 3,2,1,1,1
???.?#???. 1,2,1
??.?.?#???## 2,1,1,4
#?.#????#??? 2,7
???????.???????#??? 4,6,1
.???#.?..? 1,1,1
.??#.????#????? 1,1,3,1
???.#??????#?#??#.? 2,10
..#?#?.?????#.? 1,1,1,4,1
##???#????. 6,2
..??.?##?.?#?? 2,3,2
.?.??????###???.??#? 1,9,1,3
?.?.??.#.?#. 1,2,1,2
.#?#??#?.?##.?.#?#?? 4,1,2,3
.??###???#?#????? 3,6
?.#???????#??#. 1,2,4,2,1
?#?????#?.??#?. 2,1,1,3
?????.#?.??#????? 3,2,5,1
??.###????? 1,3,2
.????????#??.?????? 1,2,1,2,1,5
?.???.???###?##.. 1,9
#??????#.?? 2,5,1
##??????????..???? 4,1,2,4
??..?##.??.??#?? 2,3,1,4
.#?.???????#??. 1,8
#?#?..????#? 1,1,2,1
?#?#.?##??? 1,1,6
??#??##???#??? 4,3,1
.???#????# 4,1
#?????????###??? 1,1,1,4,1
??#?#?????.?#.?????# 10,1,2,3
.????#.?#?.?.?? 2,1,3,1,1
???????#?#??#??.? 1,10,1
#??.????#. 2,1,1
?.??.???#.? 1,1,2
..????#???????? 9,1,1
????????#?#??#?? 4,4,2
?#??..###?##? 3,6
???#?????? 1,1,2
#??#??..??.?.?#? 6,1,1,3
??#?.##???.??# 1,3,3
????###??????. 6,1
##??###??####?..??? 14,2
???.#????? 1,3
??.?.???..?. 2,1,1,1
.?#.??#?..???#??? 1,4,3,1
??.??.????????? 1,1,3,5
#?##?????.??.#?????# 9,1,2,2,1
?#???.??.#????#?#?? 5,10
???.?????..??.#.?.?. 5,1
??#?.#?#?# 2,5
#?#????#??.??.##? 8,2
.?.?.?#??##?.#.??#?? 1,1,7,1,1,3
????#?#??.?#???# 6,6
??.#?#??#?#??????? 1,1,8,3
????.????#??#? 1,1,1,6
?.?.?##?##??#.?? 1,3,2,1,2
.???.?#?##???? 1,7
?#.?????#??. 1,2
?#.????.???#?#??#?# 1,1,1,1,9
#?.#.??#???????.???. 1,1,4,2,1,3
?#.???????.#?#?# 1,1,1,1,3
.??..##.??#??##? 2,2,2,2
?.?#?..##?.?.. 1,2
?????#?.????? 1,3,3
##??..?????#?? 4,1,2
#..?###????.? 1,4,1
?#?#???????#??. 3,7
?#?.???#??.??. 1,4,2
???#.#?##??.?##??##? 4,1,4,7
???????#..? 4,1,1
???#?????#??#?.? 2,8
..?#.??##???#?.?.. 1,9
????##??.?? 4,2
??##??#?..???##?#?#? 6,8
?.##.?.??? 2,1
.??.????#?. 1,5
?#??.#?#????????# 3,4,3,1
??#.?.?..? 2,1,1
#????????#???.##?#?. 1,6,1,5
??.?#?.#??#??????? 2,4,6
??????#???? 6,1
?????#??????##.??.. 3,6
???????##???#??.#.?? 10,2,1,1,1
.????????????#??? 1,1,10
???????##???#????? 1,1,5,4,1
.??#.?#?.???.#.?#??? 3,2,1,1,4
???..##??? 2,4
??##???#.??.#? 8,2,1
.??.??.?##??..??#? 2,5,1,1
??.???????#??#??.?? 1,2,8,1
..#?????#??.??#. 7,2
?#????#?#??#? 2,3,1,2
???#??#????#??#?.? 9,1,2,1
?.??.????. 2,3
?.???#????#.????#??? 1,1,1,1,1,5
?.?##?#.??.??#?? 5,1
?#??###???# 7,1
#?????..??? 3,1,3
?.???..??## 2,4
.?#????.?#.?.# 3,2,1,1
??#??#.#??????#?#??? 5,2,8
??.???..???##. 2,3,1,3
???????#?# 1,4
??#?.?????#?#?#???. 2,12
??.?#???#?##.?#?? 1,8,2,1
??????????..?? 2,1
??????#????? 1,5
???.??###.? 4,1
???##????#?????? 3,1,3,3
???.???#???? 1,5
#???????.?#?#?#??? 5,1,7,1
#??#???#????????.?? 1,1,4,1,2,1
.?#?..?????????#?. 2,2,6
??..??.?.. 1,2
????.#?????????###?. 1,2,1,12
#?#?##??#.?.?. 9,1
????????#??#??? 4,7
?#????#???? 3,4,1
??????#??? 1,2,1
#??#.??.?# 4,1,1
?.?????#?# 1,6
#?#?.??#???????.?? 1,2,1,1,4,2
?????????.???? 2,5,3
?#??##?.?#??##??# 1,3,5,1
??#?#.?#?..#?? 3,2,1,1
??????#??.? 3,1,1
?.?????#????..###??. 6,4
?##??#????.??. 7,1,1
#.?????????# 1,1,1,1
.??#..#??.???? 3,3,1
.????#?##?#???? 7,2
???????#???#? 2,1,2,2
?..#?????# 1,4,1
???.#?#..??# 1,3,1,1
???.#????#???????.? 1,3,2,1,1,2
#???.??#.??.?#???. 1,1,2,1,2,1
#?????.?.?????? 1,2,1,1,5
??????.???..#?#??? 3,1,1,3,1
??#????????#??#??? 8,3,1,1
??.?#?#???##..?#?? 2,4,1,2,2,1
??#???????..?? 3,5,1
.???##?.???????.? 4,4
???#??????? 3,4
#.???????# 1,1,1
#?####..#?# 6,3
.??#???.?????????.. 5,5,3
?????#.?????#?#.?# 1,3,4,2
?#????#.?#?# 1,4,2,1
??#???##???.#?????? 9,1,1,2
.?#??????? 1,2,2
????????###?????. 5,4,4
?#?##??..#?? 7,3
??#?.?????#?? 2,7
..??.?...??. 1,1,2
??.???#??.?#??? 1,2,2,2,1
???#?.???? 4,1
???#??#??#?#?#?###? 1,16
??.????#?.#??.. 1,2,2,3
???#??????##???? 4,6
##?.??.?#?? 2,1,2
??.##?#?#?.?#??. 1,7,1
??#?#??#??#????.?#? 1,13,2
????###????.????.?#? 9,1,1,1,3
??#?#???#????????#. 1,1,1,1,1,8
.#??#????.?####? 5,5
..#??##???? 1,7
.????#?#?#?#.#?#?#?? 9,6
?????..????? 1,2
???????#?#??#??.?# 1,11,2
.?.??????#???#????? 1,1,7,1,1
.???.??##?#?. 1,6
.??#???.??????? 2,2,1,4
#??..#??##?##???? 3,1,2,3,1
.?#?#??#?#?#???? 11,1
?#?#?????????.?#?# 5,1,2,3
?##???#????#? 8,1
.##?????????..? 2,1,2,1,1
???????????????????# 3,8,1,1,2
??##????..###. 5,3
.?###??????#?? 7,2
?.?..#??.#?#?.## 1,1,1,3,2
???..???#.?????##?? 2,4,2,5
.???.?????. 1,1
?#????#???.?? 2,4,1
?.??#.??.??# 1,1,1,1
?#?????#??????.??? 10,1,2
.????###??#???..?.?. 10,1,1,1
.???##?.????..?#??? 5,1,1,3,1
?##?#?????#??.? 2,3,4,1
???#??#??###?# 1,1,9
?????.?#?#??????## 4,2,1,1,2,2
.#???..???###????? 1,1,1,5,1
?#?#???????# 1,1,4,1
.?#???????#.#?.??.? 7,1,1,1,1
??????#....#??#..#?? 5,4,3
??????#?#??? 1,1,2,1
.####???#..#????#??? 8,2,3,1
.#?#.????.? 3,2
.#?????.#?####??? 2,1,1,7
#????.?#??#?#..? 1,2,2,3
????..???? 1,4
.?###.?#??????. 4,5,1
.???#.???.? 2,1,1
??????#?.?.?.?.???#. 1,1,3,1,1,4
?#????..???.. 2,1,3
?.??#????.?##?? 1,6,4
?#?????.##??#?. 4,6
??##?????..#? 9,1
??.???..??#??# 3,4
??????..??#. 1,1,1,2
?#????.???.? 1,1,1,1
??????????#?# 1,1,8
#.??#??#???.#???#? 1,3,1,1,5
#.???????.?? 1,1,4,2
?#..????.???.#?? 2,1,1,1,3
???.?.?#?#???. 1,1,3,1
.#?#??????#??.? 7,2
????.?.????? 3,1,1,1
?.????#??##???? 3,6
???????#??.. 1,1,1
???.??#?.???? 2,3,1,1
.????#?.?#.??.???? 1,1,2,2,2,1
???#?#??.. 1,3
#?#??????????? 8,3
.?##..#??????.##? 3,7,2
????#.?####??#??? 1,1,7,1
?##??#??#?##?#?## 6,9
.????#??.??? 7,1
???##?.#??#???.#.? 4,7,1
???????#?????###? 1,11
????.???.?#.? 1,1,2
???????#?##??#?#??#? 1,1,1,5,7
???.??##??####.. 5,4
????????????. 2,4,2
??????#??? 1,1
?#.?????.. 1,1,1
.???#??#??#?????. 1,6,1,3
#???.#?.#??? 3,2,1,1
?.??#?#???.??????? 3,2
?.????#?##?#?..? 1,2,7
?#?????????.?#?.? 2,1,2,3,1
#???????.? 4,1,1
